"AVAILABLEMEMORY","CPULOADLAST15MINUTE","CPULOADLAST1MINUTE","CPULOADLAST5MINUTE","FREEMEMORY","FREESWAPMEMORY","TIME","TOTALMEMORY","TOTALSWAPMEMORY","USEDMEMORY","USEDSWAPMEMORY"
"6253","1.41","0.51","1.12","2252","0","00:07:52","15894","0","8319","40"
"6253","1.41","0.51","1.12","2252","0","00:07:53","15894","0","8319","40"
"6253","1.41","0.47","1.10","2252","0","00:07:54","15894","0","8319","40"
"6253","1.41","0.47","1.10","2252","0","00:07:55","15894","0","8320","40"
"6253","1.41","0.47","1.10","2252","0","00:07:56","15894","0","8320","40"
"6253","1.41","0.47","1.10","2252","0","00:07:57","15894","0","8320","40"
"6253","1.41","0.47","1.10","2252","0","00:07:58","15894","0","8320","40"
"6253","1.40","0.43","1.09","2252","0","00:07:59","15894","0","8320","40"
"6253","1.40","0.43","1.09","2252","0","00:08:00","15894","0","8320","40"
"6251","1.40","0.43","1.09","2249","0","00:08:01","15894","0","8322","40"
"6250","1.40","0.43","1.09","2249","0","00:08:02","15894","0","8322","40"
"6251","1.40","0.43","1.09","2249","0","00:08:03","15894","0","8322","40"
"6250","1.40","0.48","1.08","2249","0","00:08:04","15894","0","8323","40"
"6251","1.40","0.48","1.08","2249","0","00:08:05","15894","0","8322","40"
"6250","1.40","0.48","1.08","2249","0","00:08:06","15894","0","8322","40"
"6251","1.40","0.48","1.08","2249","0","00:08:07","15894","0","8322","40"
"6250","1.40","0.48","1.08","2249","0","00:08:08","15894","0","8323","40"
"6250","1.39","0.44","1.07","2249","0","00:08:09","15894","0","8323","40"
"6250","1.39","0.44","1.07","2249","0","00:08:10","15894","0","8323","40"
"6250","1.39","0.44","1.07","2249","0","00:08:11","15894","0","8323","40"
"6250","1.39","0.44","1.07","2248","0","00:08:12","15894","0","8323","40"
"6250","1.39","0.44","1.07","2249","0","00:08:13","15894","0","8323","40"
"6250","1.38","0.40","1.05","2249","0","00:08:14","15894","0","8323","40"
"6250","1.38","0.40","1.05","2249","0","00:08:15","15894","0","8323","40"
"6249","1.38","0.40","1.05","2248","0","00:08:16","15894","0","8323","40"
"6249","1.38","0.40","1.05","2247","0","00:08:17","15894","0","8323","40"
"6249","1.38","0.40","1.05","2248","0","00:08:18","15894","0","8324","40"
"6249","1.38","0.53","1.06","2248","0","00:08:19","15894","0","8324","40"
"6249","1.38","0.53","1.06","2248","0","00:08:20","15894","0","8324","40"
"6249","1.38","0.53","1.06","2248","0","00:08:21","15894","0","8324","40"
